,Incident.Date,State,City.Or.County,Address,X..Killed,X..Injured,Operations,fullad,long,lat
1,31-Dec-13,New York,Brooklyn,60 Glenmore Ave,0,6,N/A,"60 Glenmore Ave ,  Brooklyn ,  New York",-73.9079627,40.6712721
2,28-Dec-13,Alabama,Montgomery,954 Highland Ave,3,5,N/A,"954 Highland Ave ,  Montgomery ,  Alabama",-86.295409,32.371726
3,26-Dec-13,Louisiana,Slidell,2144 First St,2,6,N/A,"2144 First St ,  Slidell ,  Louisiana",-89.7825245,30.2742076
4,26-Dec-13,Louisiana,Lockport,313 Tenth St,3,3,N/A,"313 Tenth St ,  Lockport ,  Louisiana",-90.5384132,29.6457898
5,25-Dec-13,New Jersey,Irvington,Nye Avenue and 21st Street,3,2,N/A,"Nye Avenue and 21st Street ,  Irvington ,  New Jersey",-74.2217398,40.7217226
6,25-Dec-13,New York,Medford,33A Cedarhurst Ave,1,3,N/A,"33A Cedarhurst Ave ,  Medford ,  New York",-72.9905533,40.8406683
7,22-Dec-13,Michigan,Muskegon,2300 block of W McMillan Rd,1,3,N/A,"2300 block of W McMillan Rd ,  Muskegon ,  Michigan",-86.2999394,43.3115145
8,21-Dec-13,North Carolina,Shelby,Jose Street,0,4,N/A,"Jose Street ,  Shelby ,  North Carolina",-81.5460296,35.2866577
9,21-Dec-13,New Jersey,Trenton,Jersey Street and Home Avenue,1,4,N/A,"Jersey Street and Home Avenue ,  Trenton ,  New Jersey",-74.751691,40.205042
10,15-Dec-13,Florida,Homestead (Florida City),7th Avenue and 13th Terrace,1,3,N/A,"7th Avenue and 13th Terrace ,  Homestead (Florida City) ,  Florida",-80.487391,25.459699
11,15-Dec-13,Texas,Channelview,900 block of Ashland Boulevard,0,5,N/A,"900 block of Ashland Boulevard ,  Channelview ,  Texas",-95.1348589,29.7914145
12,14-Dec-13,North Carolina,Statesville,167 Wallace Springs,0,4,N/A,"167 Wallace Springs ,  Statesville ,  North Carolina",-80.8930179,35.7586999
13,7-Dec-13,Delaware,Wilmington,3421 Kirkwood Hwy,0,4,N/A,"3421 Kirkwood Hwy ,  Wilmington ,  Delaware",-75.632584,39.736051
14,1-Dec-13,Kansas,Topeka,1629 SW Central Park,4,0,N/A,"1629 SW Central Park ,  Topeka ,  Kansas",-95.690372,39.037613
15,1-Dec-13,Florida,Miami,NW 64th Street and 12th Avenue,2,2,N/A,"NW 64th Street and 12th Avenue ,  Miami ,  Florida",-80.2166879,25.8335731
16,30-Nov-13,Michigan,Lansing,N/A,0,5,N/A,"N/A ,  Lansing ,  Michigan",-84.5555347,42.732535
17,30-Nov-13,Georgia,Valdosta,Gordon Street and North Ashley Street,0,4,N/A,"Gordon Street and North Ashley Street ,  Valdosta ,  Georgia",-83.2800564,30.8405135
18,29-Nov-13,California,Fresno,Oleander and Modoc,0,4,N/A,"Oleander and Modoc ,  Fresno ,  California",-119.8101282,36.7297405
19,29-Nov-13,Indiana,Indianapolis,3400 block of East 34th Street,0,4,N/A,"3400 block of East 34th Street ,  Indianapolis ,  Indiana",-86.06737,39.8197605
20,28-Nov-13,New York,Rochester,St. Paul Boulevard and Andrews Street,0,4,N/A,"St. Paul Boulevard and Andrews Street ,  Rochester ,  New York",-77.610044,43.1595279
21,25-Nov-13,Minnesota,Minneapolis,1611 E Lake St,1,3,N/A,"1611 E Lake St ,  Minneapolis ,  Minnesota",-93.2506576,44.9481767
22,25-Nov-13,California,Oakland,96th Avenue and Olive Street,0,7,N/A,"96th Avenue and Olive Street ,  Oakland ,  California",-122.1650469,37.7488181
23,23-Nov-13,Oklahoma,Tulsa,Pine Street and Harvard Avenue,4,1,N/A,"Pine Street and Harvard Avenue ,  Tulsa ,  Oklahoma",-95.9403277,36.17711
24,21-Nov-13,Pennsylvania,Philadelphia,1400 block of N. 60th Street,0,4,N/A,"1400 block of N. 60th Street ,  Philadelphia ,  Pennsylvania",-75.239661,39.972875
25,20-Nov-13,Texas,Houston,8200 block of Sunbury,3,2,N/A,"8200 block of Sunbury ,  Houston ,  Texas",-95.6286949,29.896868
26,15-Nov-13,Texas,Houston,4400 block of Tiffany,1,3,N/A,"4400 block of Tiffany ,  Houston ,  Texas",-95.4617233,29.7393896
27,11-Nov-13,New York,Brooklyn,318 Maujer St,4,1,N/A,"318 Maujer St ,  Brooklyn ,  New York",-73.9363265,40.7120382
28,10-Nov-13,Ohio,Canton,1215 Tuscarawas St W,1,3,N/A,"1215 Tuscarawas St W ,  Canton ,  Ohio",-81.3861825,40.8007256
29,10-Nov-13,Arizona,Phoenix,5800 South 53rd Glen,1,3,N/A,"5800 South 53rd Glen ,  Phoenix ,  Arizona",-112.1744935,33.3933579
30,9-Nov-13,Texas,Cypress,7300 block of Enchanted Creek Drive,2,16,N/A,"7300 block of Enchanted Creek Drive ,  Cypress ,  Texas",-95.7185719,29.884112
31,7-Nov-13,Michigan,Detroit,Conley and 7 Mile,3,7,N/A,"Conley and 7 Mile ,  Detroit ,  Michigan",-83.0526867,42.4333613
32,5-Nov-13,Florida,Jacksonville,1100 block of Randolph,4,0,N/A,"1100 block of Randolph ,  Jacksonville ,  Florida",-81.7299447,30.3067971
33,5-Nov-13,District of Columbia,Washington,3900 block of Minnesota Ave,0,4,N/A,"3900 block of Minnesota Ave ,  Washington ,  District of Columbia",-76.9505602,38.8932344
34,3-Nov-13,California,Los Angeles,1 World Way,1,3,N/A,"1 World Way ,  Los Angeles ,  California",-118.4010845,33.9463626
35,3-Nov-13,California,Perris,2900 block of Perris Boulevard,0,5,N/A,"2900 block of Perris Boulevard ,  Perris ,  California",-117.2261628,33.8249251
36,2-Nov-13,Kentucky,Radcliff,355 Shelby Avenue,1,3,N/A,"355 Shelby Avenue ,  Radcliff ,  Kentucky",-85.9168982,37.8144369
