,Incident.Date,State,City.Or.County,Address,X..Killed,X..Injured,Operations,fullad,long,lat
1,29-Dec-14,Louisiana,New Orleans,Poydras and Bolivar,0,4,N/A,"Poydras and Bolivar ,  New Orleans ,  Louisiana",-90.0839102,29.9542981
2,27-Dec-14,California,Los Angeles,8800 block of South Figueroa Street,1,3,N/A,"8800 block of South Figueroa Street ,  Los Angeles ,  California",-118.2827122,33.9573722
3,27-Dec-14,California,Sacramento,4000 block of May Street,0,4,N/A,"4000 block of May Street ,  Sacramento ,  California",-121.4430593,38.6404317
4,26-Dec-14,Illinois,East St. Louis,2500 block of Summit Avenue,1,3,N/A,"2500 block of Summit Avenue ,  East St. Louis ,  Illinois",-90.1254163,38.6196182
5,24-Dec-14,Missouri,Saint Louis,18th and Pine,1,3,N/A,"18th and Pine ,  Saint Louis ,  Missouri",-90.2059421,38.630663
6,23-Dec-14,Kentucky,Winchester,260 Oxford Drive,1,3,N/A,"260 Oxford Drive ,  Winchester ,  Kentucky",-84.2089874,38.0030814
7,22-Dec-14,Michigan,Detroit,Charlevoix and Philip,1,3,N/A,"Charlevoix and Philip ,  Detroit ,  Michigan",-82.9486464,42.38358
8,22-Dec-14,New York,Webster,191 Lake Road,4,2,N/A,"191 Lake Road ,  Webster ,  New York",-77.5255331,43.236828
9,22-Dec-14,Illinois,Chicago,5700 block of South Green Street,0,5,N/A,"5700 block of South Green Street ,  Chicago ,  Illinois",-87.646624,41.790482
10,21-Dec-14,Florida,Sarasota,4034 N Washington Blvd,2,2,N/A,"4034 N Washington Blvd ,  Sarasota ,  Florida",-82.5299717,27.3688478
11,21-Dec-14,Mississippi,Waynesboro,Central Avenue,1,4,N/A,"Central Avenue ,  Waynesboro ,  Mississippi",-88.6580584,31.6784364
12,21-Dec-14,Illinois,Calumet City,600 block of Escanba,1,8,N/A,"600 block of Escanba ,  Calumet City ,  Illinois",-87.5528405,41.6180814
13,20-Dec-14,Illinois,Rockford,3200 block of Montrose Avenue,4,0,N/A,"3200 block of Montrose Avenue ,  Rockford ,  Illinois",-89.1071791,42.2938571
14,16-Dec-14,New Jersey,Elizabeth,Anna Street,0,4,N/A,"Anna Street ,  Elizabeth ,  New Jersey",-74.2043131,40.6688088
15,15-Dec-14,Pennsylvania,Lansdale,100 block of West 5th St,7,0,N/A,"100 block of West 5th St ,  Lansdale ,  Pennsylvania",-75.282032,40.245946
16,14-Dec-14,Florida,Miami,1311 Northwest 2nd Avenue,1,4,N/A,"1311 Northwest 2nd Avenue ,  Miami ,  Florida",-80.1984688,25.7871407
17,13-Dec-14,Florida,Tampa,810 E. Skagway Ave.,0,5,N/A,"810 E. Skagway Ave. ,  Tampa ,  Florida",-82.4524689,28.0324123
18,12-Dec-14,Oregon,Portland,717 North Killingsworth Court,0,4,N/A,"717 North Killingsworth Court ,  Portland ,  Oregon",-122.6743133,45.5620669
19,7-Dec-14,Indiana,South Bend,16000 block of Roosevelt Road,0,4,N/A,"16000 block of Roosevelt Road ,  South Bend ,  Indiana",-86.181481,41.59062
20,2-Dec-14,Missouri,Saint Louis,6000 block of Virginia Avenue,1,5,N/A,"6000 block of Virginia Avenue ,  Saint Louis ,  Missouri",-90.2492351,38.5616394
